1348, 3046
4437, 6374
1981, 5680
26427, 153445
358, 1215
1056, 2669
1178, 7066
1509, 2818
36535, 100470
252, 531
162, 846
4153, 14268
3270, 5114
1841, 5554
131, 553
1982, 6417
1716, 2982
5187, 20750
2033, 2685
748, 2446
1591, 13175
9391, 39541
647, 2318
14357, 103834
9036, 33807
98266, 673365
1246, 3915
15409, 119570
1966, 18149
5747, 54543
324, 1359
2318, 6504
94, 403
207, 765
479, 629
1870, 4375
11293, 92453
313, 1239
322, 1617
856, 2092
6831, 22997
3502, 12256
2435, 9022
468, 1991
680, 2594
65257, 442021
1594, 2854
26346, 96236
775, 2078
1264, 2589
6407, 18067
494, 1454
1333, 4638
37, 348
1359, 7091
681, 1800
1602, 5575
745, 1465
22275, 98731
489, 1498
1248, 4465
11569, 37212
4003, 17749
2939, 6281
904, 3823
1625, 2482
6554, 20199
6143, 13163
35288, 207809
21196, 91961
1262, 2628
422, 1068
1000, 5538
5459, 7470
760, 2317
1279, 2373
932, 2292
1149, 5419
40223, 240103
308, 1762
600, 4028
629, 1750
1264, 2306
14068, 162693
3389, 9897
119, 483
3264, 11598
26, 144
8309, 29140
1275, 5290
3182, 10236
998, 3494
1362, 2556
5653, 12496
1198, 3950
1313, 2234
3488, 6736
1057, 3567
296, 1146
2783, 18249
691, 633
16788, 66601
773, 1959
1341, 3066
1579, 3391
267, 962
2796, 7839
3176, 14699
178, 458
1805, 5415
3324, 11578
693, 3626
2716, 3991
241, 627
778, 1365
650, 767
1707, 2709
166, 355
835, 3356
11206, 55431
2387, 8723
428, 1079
41727, 166909
49616, 295212
774, 2657
857, 4575
970, 2122
46, 121
6084, 22337
389, 1038
338, 970
1533, 3603
889, 1928
602, 2920
8382, 84031
1537, 2459
2675, 6343
2727, 7364
5273, 12524
3142, 10493
2282, 4743
5294, 21258
1890, 5011
687, 2038
6511, 16176
4762, 12725
978, 1973
806, 1465
173, 922
1798, 6741
10918, 37766
5521, 19325
659, 4271
208, 866
1526, 3379
435, 959
2570, 8708
10199, 66120
2461, 5430
302, 982
8639, 37097
530, 1098
421, 2542
2095, 7084
1895, 3885
0, 0
2447, 6167
3124, 5735
3370, 19146
1939, 2695
2834, 16885
1778, 3000
28635, 71423
3404, 10002
3562, 12284
1345, 1711
520, 1222
329, 545
1713, 11772
697, 793
208, 495
17447, 69546
1464, 4828
531, 1392
2686, 8020
733, 2031
431, 821
3539, 43158
823, 1663
13427, 53894
736, 4362
48546, 428510
13478, 42218
6851, 21878
24408, 92253
5663, 39001
42560, 216852
1141, 2394
9314, 37566
885, 2131
1983, 2091
133622, 488093
1193, 2723
11081, 34629
875, 1541
1368, 2059
775, 2529
313, 902
52, 195
3893, 7832
8107, 33623
756, 1215
1768, 3639
1117, 9602
576, 1052
42, 81
813, 1686
6928, 23176
432, 2898
265, 974
691, 1906
543, 1296
3521, 6984
6443, 26279
3662, 19942
218, 1645
2533, 7159
744, 1351
316, 1257
777, 3298
2038, 8774
9667, 28242
2232, 5728
1480, 5366
3071, 10397
4086, 25385
9102, 38430
10363, 81695
300, 739
1352, 2016
35, 209
960, 2738
9255, 31516
1258, 8242
419, 1390
15667, 182673
560, 1691
1004, 3250
1138, 3156
6063, 17722
211, 672
805, 1996
4431, 10922
2832, 7960
94, 327
1545, 6773
538, 1194
1549, 2457
3707, 10565
769, 1204
5767, 19050
2700, 5835
1050, 1179
839, 1620
24007, 92984
12967, 81151
778, 1314
1114, 1869
1261, 6996
25617, 146461
578, 3311
84, 273
50, 186
773, 3368
28818, 140211
1962, 21439
283, 1099
109300, 260307
894, 4000
2032, 13392
1033, 1758
662, 777
10065, 51508
3728, 29516
108416, 558901
260, 834
613, 3157
687, 1786
1391, 5286
138, 641
2559, 4853
2612, 10332
2109, 6024
17197, 68788
372, 1184
5348, 29828
693, 2013
2475, 10375
3025, 8942
1431, 3597
5996, 17987
1017, 1918
913, 2013
30708, 224353
416, 984
1502, 4116
3376, 15239
276, 189
686, 2268
4054, 9900
4037, 19968
678, 1346
13279, 84682
1692, 5888
1590, 2248
4295, 14855
180, 391
5973, 30047
1018, 2001
23386, 155604
2382, 9843
690, 2560
355, 1203
1238, 2841
915, 2251
3974, 17683
747, 1056
2836, 6188
478, 1163
23198, 102519
9297, 56713
12109, 54715
128, 469
649, 1740
1355, 1963
12102, 48218
5924, 25054
11006, 43669
18187, 57341
1964, 4016
1740, 9460
13410, 39244
564, 811
751, 2138
479, 1220
4156, 10186
2269, 6250
1487, 8241
6607, 18662
260, 385
799, 1133
310, 743
552, 1884
258, 714
8228, 26301
929, 1401
774, 2514
1439, 3422
368, 766
730, 1986
2551, 9442
1952, 10604
3068, 13660
4984, 27184
59, 232
6749, 25205
3954, 10145
1981, 9156
465, 1942
32195, 148712
314, 1029
221, 682
36574, 64740
846, 1918
5602, 26172
53, 229
2076, 3792
2580, 9385
3866, 9084
8812, 32784
686, 1590
743, 1788
16048, 34128
4526, 21384
4672, 27364
437, 2870
2964, 9731
1591, 2603
983, 2806
506, 1196
284, 772
2028, 7577
1952, 4881
1995, 5003
1526, 4800
7302, 20879
1337, 3866
662, 2222
1056, 3188
854, 1027
8224, 54880
561, 1411
441, 1261
1801, 14788
1353, 3101
1702, 4369
1303, 3791
2835, 10959
337, 1293
1661, 2831
394, 864
63, 192
3369, 8348
2787, 8988
3096, 16446
6327, 43315
5517, 20257
1033, 1335
767, 2555
842, 1710
2498, 5266
2374, 8360
1599, 5598
6053, 23507
11523, 62126
1531, 6024
1785, 3934
1954, 3672
700, 996
1085, 2077
